date,DOD,Health and Human Services,Treasury,NASA,Veterans Affairs,Environmental Protection Agency,Social Security ,Other 
1985,25.9,11.48,16.41,0.76,2.66,0.47,20.12,22.2
1986,26.8,11.74,17.05,0.66,2.56,0.47,20.17,20.55
1987,27.3,12.34,16.76,0.75,2.54,0.47,20.53,19.31
1988,26.5,12.51,17.82,0.85,2.56,0.47,20.76,18.53
1989,25.8,12.64,18.92,0.95,2.47,0.38,20.44,18.4
1990,23.1,13.69,19.84,0.98,2.25,0.39,20.53,19.22
1991,19.8,14.63,20.2,0.98,2.34,0.39,20.98,20.68
1992,20.7,15.61,19.61,0.93,2.32,0.37,20.63,19.83
1993,19.8,16.42,19.25,0.91,2.28,0.36,21.16,19.82
1994,18.4,17.69,19.35,0.83,2.41,0.37,21.85,19.1
1995,17.1,18.28,20.93,0.82,2.29,0.37,21.76,18.45
1996,16.2,18.93,21.51,0.83,2.22,0.37,22.16,17.78
1997,16.1,19.33,21.51,0.82,2.28,0.36,22.33,17.27
1998,15.5,19.45,21.56,0.83,2.29,0.37,22.66,17.34
1999,15.3,19.38,20.75,0.73,2.3,0.37,22.68,18.49
2000,15.7,19.67,20.04,0.74,2.39,0.37,22.61,18.48
2001,15.6,20.93,19.01,0.73,2.19,0.37,22.58,18.59
2002,16.5,21.13,16.93,0.64,2.29,0.37,22.23,19.91
2003,18,21.45,15.58,0.64,2.38,0.37,21.54,20.04
2004,19.1,21.74,15.05,0.64,2.39,0.37,21.2,19.51
2005,19.2,21.74,15.36,0.56,2.59,0.28,21,19.27
2006,18.8,21.35,16.17,0.55,2.4,0.28,20.43,20.02
2007,19.4,22.63,16.56,0.55,2.48,0.28,20.98,17.12
2008,19.9,21.84,17.1,0.56,2.6,0.28,20.54,17.18
2009,18.1,21.3,18.76,0.47,2.54,0.19,19.41,19.23
2010,19.3,22.96,11.99,0.46,2.88,0.28,20.26,21.87
2011,18.8,23.06,14.01,0.47,3.27,0.28,20.35,19.76
2012,18.4,22.75,12.42,0.47,3.32,0.38,21.99,20.27
2013,17.6,24.11,10.88,0.47,3.75,0.28,23.54,19.37
2014,16.5,25.02,11.9,0.47,4.03,0.28,24.18,17.62
2015,15.3,26.15,12.37,0.47,4.03,0.19,23.99,17.5
