pres,date,DOD,Health & Human Services,Social Security Administration,Treasury,Legislative,Judicial,Agriculture,Commerce,Veterans Affairs,Transportation, Education,Energy,Homeland Security,Housing and Urban Development,National Aeronautics and Space Administration,Interior,Justice,Labor,State,Corps of Engineers--Civil Works,Other Defense Civil Programs,Environmental Protection Agency,International Assistance Programs,National Science Foundation,Office of Personnel Management,Social Security Administration 2
Regan,1985,24.57305503,11.4800759,18.40607211,16.41366224,0.189753321,0.09487666,5.59772296,0.189753321,2.65654649,2.277039848,1.707779886,1.043643264,0.474383302,2.84629981,0.759013283,0.474383302,0.284629981,2.466793169,0.284629981,0.284629981,1.612903226,0.474383302,1.233396584,0.09487666,2.371916509,1.707779886
Regan,1986,25.37878788,11.74242424,18.27651515,17.04545455,0.189393939,0.09469697,5.587121212,0.189393939,2.556818182,2.367424242,1.704545455,1.041666667,0.473484848,1.325757576,0.662878788,0.473484848,0.284090909,2.367424242,0.378787879,0.284090909,1.704545455,0.473484848,1.041666667,0.189393939,2.272727273,1.893939394
Regan,1987,25.70621469,12.33521657,19.02071563,16.76082863,0.188323917,0.094161959,4.61393597,0.188323917,2.542372881,2.165725047,1.600753296,1.035781544,0.470809793,1.412429379,0.753295669,0.470809793,0.376647834,2.259887006,0.376647834,0.282485876,1.694915254,0.470809793,0.941619586,0.188323917,2.542372881,1.506591337
Regan,1988,25.11848341,12.51184834,19.14691943,17.81990521,0.18957346,0.09478673,3.886255924,0.18957346,2.559241706,2.085308057,1.611374408,0.947867299,0.568720379,1.706161137,0.853080569,0.473933649,0.379146919,1.990521327,0.379146919,0.28436019,1.706161137,0.473933649,0.663507109,0.18957346,2.559241706,1.611374408
G.H.W. Bush,1989,24.52471483,12.64258555,18.91634981,18.91634981,0.190114068,0.095057034,3.992395437,0.190114068,2.47148289,1.996197719,1.80608365,0.950570342,0.475285171,1.615969582,0.950570342,0.475285171,0.475285171,2.091254753,0.380228137,0.285171103,1.711026616,0.380228137,0.380228137,0.190114068,2.376425856,1.520912548
G.H.W. Bush,1990,22.58064516,13.68523949,19.15933529,19.84359726,0.195503421,0.097751711,3.616813294,0.293255132,2.248289345,1.955034213,1.759530792,0.977517107,0.586510264,1.56402737,0.977517107,0.488758553,0.488758553,2.052785924,0.391006843,0.293255132,1.661779081,0.391006843,0.782013685,0.097751711,2.443792766,1.368523949
G.H.W. Bush,1991,19.31707317,14.63414634,19.6097561,20.19512195,0.195121951,0.195121951,4,0.195121951,2.341463415,2.048780488,1.853658537,0.87804878,0.487804878,1.658536585,0.975609756,0.487804878,0.585365854,2.536585366,0.390243902,0.292682927,1.756097561,0.390243902,0.87804878,0.195121951,2.536585366,1.365853659
G.H.W. Bush,1992,19.23791822,15.6133829,18.95910781,19.60966543,0.185873606,0.185873606,3.810408922,0.185873606,2.323420074,1.951672862,1.765799257,1.022304833,0.464684015,1.672862454,0.92936803,0.464684015,0.650557621,3.252788104,0.371747212,0.278810409,1.672862454,0.371747212,0.743494424,0.185873606,2.416356877,1.672862454
Clinton,1993,18.06569343,16.42335766,19.34306569,19.25182482,0.182481752,0.182481752,4.105839416,0.182481752,2.281021898,2.00729927,1.916058394,1.094890511,0.638686131,1.642335766,0.912408759,0.45620438,0.638686131,2.919708029,0.45620438,0.182481752,1.642335766,0.364963504,0.729927007,0.182481752,2.372262774,1.824817518
Clinton,1994,17.03703704,17.68518519,19.90740741,19.35185185,0.185185185,0.185185185,3.796296296,0.185185185,2.407407407,2.12962963,1.574074074,1.111111111,0.648148148,1.666666667,0.833333333,0.462962963,0.555555556,2.407407407,0.462962963,0.185185185,1.666666667,0.37037037,0.648148148,0.185185185,2.407407407,1.944444444
Clinton,1995,15.63071298,18.28153565,19.92687386,20.93235832,0.182815356,0.182815356,3.382084095,0.182815356,2.285191956,2.1023766,1.919561243,1.096892139,0.548446069,1.736745887,0.822669104,0.457038391,0.639853748,2.010968921,0.365630713,0.182815356,1.645338208,0.365630713,0.639853748,0.182815356,2.468007313,1.828153565
Clinton,1996,14.95844875,18.9289012,20.31394275,21.5143121,0.092336103,0.184672207,3.23176362,0.184672207,2.216066482,2.123730379,1.754385965,0.923361034,0.55401662,1.477377655,0.831024931,0.369344414,0.646352724,1.939058172,0.369344414,0.184672207,1.754385965,0.369344414,0.55401662,0.184672207,2.493074792,1.846722068
Clinton,1997,14.67639015,19.325433,20.41932543,21.51321787,0.091157703,0.182315406,3.008204193,0.182315406,2.278942571,2.096627165,1.731996354,0.820419325,0.63810392,1.549680948,0.820419325,0.364630811,0.729261623,1.731996354,0.364630811,0.182315406,1.731996354,0.364630811,0.546946217,0.182315406,2.552415679,1.914311759
Clinton,1998,14.22018349,19.44954128,20.55045872,21.55963303,0.183486239,0.183486239,3.027522936,0.183486239,2.293577982,2.018348624,1.743119266,0.825688073,0.550458716,1.651376147,0.825688073,0.366972477,0.733944954,1.743119266,0.275229358,0.183486239,1.743119266,0.366972477,0.458715596,0.183486239,2.568807339,2.110091743
Clinton,1999,14.04958678,19.37557392,20.4775023,20.75298439,0.183654729,0.183654729,3.397612489,0.275482094,2.295684114,2.02020202,1.652892562,0.826446281,0.734618916,1.744719927,0.734618916,0.459136823,0.918273646,1.744719927,0.367309458,0.183654729,1.744719927,0.367309458,0.550964187,0.183654729,2.571166208,2.203856749
