region	fruit	count
Legislative Branch	early	"1,607"
Judicial Branch	early	966
Department of Agriculture	early	"55,435"
Department of Commerce	early	"2,139"
Department of Defense--Military Programs	early	"245,109"
Department of Education	early	"16,596"
Department of Energy	early	"10,586"
Department of Health and Human Services	early	"114,270"
Department of Homeland Security	early	"5,007"
Department of Housing and Urban Development	early	"28,720"
Department of the Interior	early	"4,804"
Department of Justice	early	"3,182"
Department of Labor	early	"24,738"
Department of State	early	"3,303"
Department of Transportation	early	"22,510"
Department of the Treasury	early	"163,688"
Department of Veterans Affairs	early	"26,322"
Corps of Engineers--Civil Works	early	"2,998"
Other Defense Civil Programs	early	"15,809"
Environmental Protection Agency	early	"4,490"
Executive Office of the President	early	111
International Assistance Programs	early	"11,858"
National Aeronautics and Space Administration	early	"7,251"
National Science Foundation	early	"1,309"
Office of Personnel Management	early	"23,727"
Social Security Administration (On-Budget)	early	"16,793"
Social Security Administration (Off-Budget)	early	"183,434"
Other Independent Agencies (On-Budget)	early	"7,051"
Legislative Branch	late	"4,728"
Judicial Branch	late	"7,729"
Department of Agriculture	late	"153,773"
Department of Commerce	late	"10,527"
Department of Defense--Military Programs	late	"576,328"
Department of Education	late	"79,098"
Department of Energy	late	"27,416"
Department of Health and Human Services	late	"1,110,428"
Department of Homeland Security	late	"51,769"
Department of Housing and Urban Development	late	"28,691"
Department of the Interior	late	"14,022"
Department of Justice	late	"39,115"
Department of Labor	late	"43,546"
Department of State	late	"30,911"
Department of Transportation	late	"77,832"
Department of the Treasury	late	"540,376"
Department of Veterans Affairs	late	"177,612"
Corps of Engineers--Civil Works	late	"6,705"
Other Defense Civil Programs	late	"63,679"
Environmental Protection Agency	late	"8,340"
Executive Office of the President	late	400
International Assistance Programs	late	"16,042"
National Aeronautics and Space Administration	late	"19,153"
National Science Foundation	late	"6,895"
Office of Personnel Management	late	"93,883"
Social Security Administration (On-Budget)	late	"94,893"
Social Security Administration (Off-Budget)	late	"896,665"
Other Independent Agencies (On-Budget)	late	"22,072"
