branch,first,last
Legislative Branch,"1,607","4,728"
Judicial Branch,966,"7,729"
Department of Agriculture,"55,435","153,773"
Department of Commerce,"2,139","10,527"
Department of Defense--Military Programs,"245,109","576,328"
Department of Education,"16,596","79,098"
Department of Energy,"10,586","27,416"
Department of Health and Human Services,"114,270","1,110,428"
Department of Homeland Security,"5,007","51,769"
Department of Housing and Urban Development,"28,720","28,691"
Department of the Interior,"4,804","14,022"
Department of Justice,"3,182","39,115"
Department of Labor,"24,738","43,546"
Department of State,"3,303","30,911"
Department of Transportation,"22,510","77,832"
Department of the Treasury,"163,688","540,376"
Department of Veterans Affairs,"26,322","177,612"
Corps of Engineers--Civil Works,"2,998","6,705"
Other Defense Civil Programs,"15,809","63,679"
Environmental Protection Agency,"4,490","8,340"
Executive Office of the President,111,400
International Assistance Programs,"11,858","16,042"
National Aeronautics and Space Administration,"7,251","19,153"
National Science Foundation,"1,309","6,895"
Office of Personnel Management,"23,727","93,883"
Social Security Administration (On-Budget),"16,793","94,893"
Social Security Administration (Off-Budget),"183,434","896,665"
Other Independent Agencies (On-Budget),"7,051","22,072"
