first	last	branch
"1,607"	"4,728"	Legislative Branch
966	"7,729"	Judicial Branch
"55,435"	"153,773"	Department of Agriculture
"2,139"	"10,527"	Department of Commerce
"245,109"	"576,328"	Department of Defense--Military Programs
"16,596"	"79,098"	Department of Education
"10,586"	"27,416"	Department of Energy
"114,270"	"1,110,428"	Department of Health and Human Services
"5,007"	"51,769"	Department of Homeland Security
"28,720"	"28,691"	Department of Housing and Urban Development
"4,804"	"14,022"	Department of the Interior
"3,182"	"39,115"	Department of Justice
"24,738"	"43,546"	Department of Labor
"3,303"	"30,911"	Department of State
"22,510"	"77,832"	Department of Transportation
"163,688"	"540,376"	Department of the Treasury
"26,322"	"177,612"	Department of Veterans Affairs
"2,998"	"6,705"	Corps of Engineers--Civil Works
"15,809"	"63,679"	Other Defense Civil Programs
"4,490"	"8,340"	Environmental Protection Agency
111	400	Executive Office of the President
"11,858"	"16,042"	International Assistance Programs
"7,251"	"19,153"	National Aeronautics and Space Administration
"1,309"	"6,895"	National Science Foundation
"23,727"	"93,883"	Office of Personnel Management
"16,793"	"94,893"	Social Security Administration (On-Budget)
"183,434"	"896,665"	Social Security Administration (Off-Budget)
"7,051"	"22,072"	Other Independent Agencies (On-Budget)
