region	fruit	count
Legislative Branch	first	0.2
Judicial Branch	first	0.1
Department of Agriculture	first	5.9
Department of Commerce	first	0.2
Department of Defense--Military Programs	first	25.9
Department of Education	first	1.8
Department of Energy	first	1.1
Department of Health and Human Services	first	12.1
Department of Homeland Security	first	0.5
Department of Housing and Urban Development	first	3
Department of the Interior	first	0.5
Department of Justice	first	0.3
Department of Labor	first	2.6
Department of State	first	0.3
Department of Transportation	first	2.4
Department of the Treasury	first	17.3
Department of Veterans Affairs	first	2.8
Corps of Engineers--Civil Works	first	0.3
Other Defense Civil Programs	first	1.7
Environmental Protection Agency	first	0.5
International Assistance Programs	first	1.3
National Aeronautics and Space Administration	first	0.8
National Science Foundation	first	0.1
Office of Personnel Management	first	2.5
Small Business Administration	first	0.1
Social Security Administration (On-Budget)	first	1.8
Social Security Administration (Off-Budget)	first	19.4
Other Independent Agencies (On-Budget)	first	0.7
Undistributed Offsetting Receipts	first	6.2
Legislative Branch	last	0.1
Judicial Branch	last	0.2
Department of Agriculture	last	3.8
Department of Commerce	last	0.2
Department of Defense--Military Programs	last	15.3
Department of Education	last	2.4
Department of Energy	last	0.7
Department of Health and Human Services	last	27.9
Department of Homeland Security	last	1.2
Department of Housing and Urban Development	last	1
Department of the Interior	last	0.3
Department of Justice	last	0.7
Department of Labor	last	1.2
Department of State	last	0.7
Department of Transportation	last	2
Department of the Treasury	last	13.2
Department of Veterans Affairs	last	4.3
Corps of Engineers--Civil Works	last	0.2
Other Defense Civil Programs	last	1.7
Environmental Protection Agency	last	0.2
International Assistance Programs	last	0.6
National Aeronautics and Space Administration	last	0.5
National Science Foundation	last	0.2
Office of Personnel Management	last	2.5
Small Business Administration	last	0.1
Social Security Administration (On-Budget)	last	2.4
Social Security Administration (Off-Budget)	last	23.2
Other Independent Agencies (On-Budget)	last	0.4
Undistributed Offsetting Receipts	last	-7
